"Company","MonthYr","Orders","Flex","Miss","MTO"
"00035","2-2023","27","24","0","0"
"00035","2-2024","39","32","0","1"
"00035","2-2025","30","28","0","2"
"00035","2-2026","28","26","0","1"
"00035","3-2021","35","22","0","12"
"00035","3-2022","31","3","0","8"
"00035","3-2023","35","33","0","1"
"00035","3-2024","36","33","0","1"
"00035","3-2025","32","32","0","0"
"00035","3-2026","28","27","0","3"
"00035","4-2020","8","4","0","5"
"00035","4-2021","32","23","0","10"
"00035","4-2022","38","12","0","4"
"00035","4-2023","40","31","0","3"
"00035","4-2024","39","39","0","0"
"00035","4-2025","27","26","11","1"
"00035","5-2020","8","6","0","2"
"00035","5-2021","26","15","0","11"
"00035","5-2022","37","24","0","4"
"00035","5-2023","34","26","0","1"
"00035","5-2024","39","39","0","0"
"00035","5-2025","33","30","13","8"
"00035","6-2021","33","29","0","2"
"00035","6-2022","45","21","0","4"
"00035","6-2023","37","34","0","1"
"00035","6-2024","42","39","0","1"
"00035","6-2025","25","21","5","4"
"00035","7-2020","1","1","0","0"
"00035","7-2021","32","10","0","18"
"00035","7-2022","48","11","0","11"
"00035","7-2023","25","7","0","4"
"00035","7-2024","35","35","0","0"
"00035","7-2025","35","35","0","1"
"00035","8-2020","2","1","0","1"
"00035","8-2021","40","13","0","24"
"00035","8-2022","37","30","0","2"
"00035","8-2023","43","13","0","13"
"00035","8-2024","35","35","0","0"
"00035","8-2025","32","32","0","1"
"00035","9-2020","50","37","0","12"
"00035","9-2021","53","13","0","34"
"00035","9-2022","46","32","0","5"
"00035","9-2023","37","22","0","7"
"00035","9-2024","34","34","0","1"
"00035","9-2025","39","39","0","0"
