BIQLETL,DimItemUOMConversion_History_CT,0
BIQLETL,DimLedgerType_CT,0
BIQLETL,DimItemShippingInformation_CT,0
BIQLETL,DimItemUOMConversion_CT,0
BIQLETL,DimSupplierItem_CT,0
BIQLETL,DimTestDefinition_CT,0
BIQLETL,DimUDC_CT,0
BIQLETL,DimStatusCode_CT,0
BIQLETL,DimRouting_CT,0
BIQLETL,DimSupplementalData_CT,0
BIQLETL,DimSubledger_CT,0
BIQLETL,DimUser_CT,0
BIQLETL,DimUOMConversion_History_CT,0
dbo,DimUOMConvert,0
BIQLETL,DimUOMConversion_CT,0
BIQLETL,F0092L_CT,0
BIQLETL,F0092_CT,0
dbo,F3460Z1_New,0
BIQLETL,F00950_CT,0
dbo,F3413,0
dbo,TM1_EDW_SALES_PERSPECTIVE_BKP,0
dbo,TM1_EDW_SALES_PERSPECTIVE_HISTORY,0
dbo,TM1_EDW_SALES_PERSPECTIVE_INT,0
dbo,TM1_EDW_SALES_PERSPECTIVE_STG,0
dbo,TM1_EDW_DIMENSION_REF_COMPANY,0
dbo,TM1_EDW_DIMENSION_REF_MEASURE,0
dbo,TM1_EDW_DIMENSION_REF_VERSION,0
dbo,TbBOMExpanded,0
dbo,SF_DimAccount,0
BIQLETL,SF_DimAccount_CT,0
dbo,SF_DimCase,0
BIQLETL,SF_DimCase_CT,0
BIQLETL,SF_DimOpportunityLineItem_CT,0
BIQLSEC,SecurityModule,0
dbo,PRODDTA_F3460Z1,0
dbo,TM1_Test_DB,0
dbo,TM1_Test_DB_v2,0
BIQLETL,FactPurchaseOrderDetailLedger_CT,0
dbo,FactPurchaseOrderHeader,0
BIQLETL,FactPurchaseOrderReceiver_CT,0
BIQLETL,FactSalesHeaderHistory_CT,0
dbo,FactSalesHistory_UOM_Fix,0
BIQLETL,FactSalesDetailHistory_CT,0
BIQLETL,FactQCPreferenceProfile_CT,0
BIQLCOA,ImportAuditError,0
BIQL,FCR_History_ItemCheck,0
dbo,FrozenCostRollupHistory,0
dbo,FrozenCostStats,0
BIQL,GlobalLotStatusExport,0
BIQL,HistoricalSnapshot,0
BIQLETL,FactWOProductionCost_CT,0
BIQLETL,FactForecast_CT,0
BIQLETL,FactAPPaymentDetail_CT,0
BIQLETL,F95921_CT,0
BIQLETL,FactInventoryAsOfYearBalances_CT,0
BIQLETL,FactPriceExceptions_CT,0
BIQLETL,FactPurchaseOrderDetail_CT,0
BIQLETL,FactInventorySnapshot_History_CT,0
dbo,FactPriceAdjustmentDetail,0
BIQLETL,FactPriceAdjustmentDetail_CT,0
