Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,WO Number,WO Status,Order Date,Start Date,Completed Date,Quantity Requested,Quantity Completed,Unit of Measure
SING,KAOWHTS,KAOWHTS.S,KAOWHTS.S,4583767,32,2026-07-06 00:00:00,2026-07-14 00:00:00,,1530,0,KG
CIN2,KELSOL,KELSOL,KELSOL,4583805,32,2026-07-06 00:00:00,2026-07-18 00:00:00,,10000,0,LB
CINC,LC410TP,LC410TP,LC410TP,4583667,90,2026-07-02 00:00:00,2026-07-14 00:00:00,,42000,0,LB
CINC,LC410TP,LC410TP,LC410TP-T2,4583668,20,2026-07-02 00:00:00,2026-07-15 00:00:00,,18,0,TO
AUBA,LICOF601,LICOF601.E,LICOF601.E,4583303,20,2026-06-26 00:00:00,2026-08-30 00:00:00,,19600,0,KG
AUBA,LICOF601,LICOF601.E,LICOF601.E-TO,4583304,20,2026-06-26 00:00:00,2026-09-01 00:00:00,,20,0,TO
AUBA,LICW440,LICW440.E,LICW440.E,4584112,20,2026-07-13 00:00:00,2026-07-24 00:00:00,,4585,0,KG
AUBA,LICW440,LICW440.E,LICW440.E-LP,4584113,20,2026-07-13 00:00:00,2026-07-24 00:00:00,,1,0,DR
AUBA,LICW440,LICW440.E,LICW440.E-TO,4584114,20,2026-07-13 00:00:00,2026-07-24 00:00:00,,4,0,TO
CINC,LIQLUB405,LIQLUB405,LIQLUB405-T2,4583397,35,2026-06-29 00:00:00,2026-07-13 00:00:00,,16,0,TO
CIN2,MC40HAFN,MC40HAFN,MC40HAFN,4583861,32,2026-07-07 00:00:00,2026-07-16 00:00:00,,2000,0,LB
CIN2,MC40HAFN,MC40HAFN,MC40HAFN-FD,4583862,20,2026-07-07 00:00:00,2026-07-17 00:00:00,,4,0,DR
CIN2,MC40HHSN,MC40HHSN,MC40HHSN-OP,4583924,35,2026-07-08 00:00:00,2026-07-15 00:00:00,,32,0,DR
AUBA,MC40M,MC40M.E,MC40M.E,4583846,32,2026-07-07 00:00:00,2026-07-16 00:00:00,,7600,0,KG
AUBA,MC40M,MC40M.E,MC40M.E-TO,4583847,20,2026-07-07 00:00:00,2026-07-17 00:00:00,,8,0,TO
AUBA,MC9100,MC9100.E,MC9100.E,4584040,35,2026-07-10 00:00:00,2026-07-16 00:00:00,,8000,0,KG
AUBA,MC9100,MC9100.E,MC9100.E-PD,4583840,20,2026-07-07 00:00:00,2026-07-17 00:00:00,,14,0,DR
AUBA,MC9100,MC9100.E,MC9100.E-TO,4583841,20,2026-07-07 00:00:00,2026-07-17 00:00:00,,5,0,TO
SING,MC9100,MC9100.S,MC9100.S,4584091,32,2026-07-13 00:00:00,2026-07-16 00:00:00,,12000,0,KG
