OrderCo,OrderNum,LineNum,LocalCcy,OrderDate,GLDate,Net,NetUSD,NetEUR,BOAmt,BOAmtEUR,BOAmtLC,QtyBO,QtyOrd,QtyShip,ExtCost,ExtCostUSD,ExtCostEUR,BOCost,BOCostEUR,XRateUSD,CFUSD
00010,1278282,1.0,USD,2021-01-29T00:00:00,2021-02-25T00:00:00,5610.0,5610.0,,0.0,0.0,0.0,0.0,1.0,1.0,5444.12,5444.12,,0.0,0.0,1.0,1.0
00010,1337761,1.0,USD,2021-05-05T00:00:00,2021-05-17T00:00:00,5896.0,5896.0,,0.0,0.0,0.0,0.0,1.0,1.0,5482.4,5482.4,,0.0,0.0,1.0,1.0
00010,1167759,1.0,USD,2020-07-27T00:00:00,2020-07-29T00:00:00,10200.0,10200.0,,0.0,0.0,0.0,0.0,1.0,1.0,4708.56,4708.56,,0.0,0.0,1.0,1.0
00010,1168312,1.0,USD,2020-07-28T00:00:00,2020-08-07T00:00:00,10320.0,10320.0,,0.0,0.0,0.0,0.0,1.0,1.0,4708.56,4708.56,,0.0,0.0,1.0,1.0
00010,1306386,1.0,USD,2021-03-15T00:00:00,2021-04-09T00:00:00,1116.5,1116.5,,0.0,0.0,0.0,0.0,1.0,1.0,434.0,434.0,,0.0,0.0,1.0,1.0
00010,1311993,1.0,USD,2021-03-24T00:00:00,2021-04-27T00:00:00,1036.0,1036.0,,0.0,0.0,0.0,0.0,1.0,1.0,434.0,434.0,,0.0,0.0,1.0,1.0
00010,1052168,1.0,USD,2019-12-26T00:00:00,2020-03-27T00:00:00,1291.5,1291.5,,0.0,0.0,0.0,0.0,1.0,1.0,812.79,812.79,,0.0,0.0,1.0,1.0
00010,1142153,1.0,USD,2020-06-12T00:00:00,2020-06-17T00:00:00,1036.0,1036.0,,0.0,0.0,0.0,0.0,1.0,1.0,361.45,361.45,,0.0,0.0,1.0,1.0
00010,1221878,1.0,USD,2020-10-29T00:00:00,2020-11-04T00:00:00,1036.0,1036.0,,0.0,0.0,0.0,0.0,1.0,1.0,420.0,420.0,,0.0,0.0,1.0,1.0
00010,1267653,1.0,USD,2021-01-12T00:00:00,2021-03-30T00:00:00,1291.5,1291.5,,0.0,0.0,0.0,0.0,1.0,1.0,949.05,949.05,,0.0,0.0,1.0,1.0
00010,1200097,1.0,USD,2020-09-22T00:00:00,2020-09-30T00:00:00,648.99,648.99,,0.0,0.0,0.0,0.0,1.0,1.0,618.08,618.08,,0.0,0.0,1.0,1.0
00010,1240983,1.0,USD,2020-11-30T00:00:00,2020-12-18T00:00:00,15.87,15.87,,0.0,0.0,0.0,0.0,1.0,1.0,15.11,15.11,,0.0,0.0,1.0,1.0
00010,1273178,1.0,USD,2021-01-21T00:00:00,2021-03-02T00:00:00,149.99,149.99,,0.0,0.0,0.0,0.0,1.0,1.0,142.84,142.84,,0.0,0.0,1.0,1.0
00010,1405758,1.0,USD,2021-08-20T00:00:00,2021-08-26T00:00:00,2825.55,2825.55,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
00010,1455447,1.0,USD,2021-10-29T00:00:00,2021-11-30T00:00:00,2825.55,2825.55,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
00010,1474127,1.0,USD,2021-11-24T00:00:00,2022-02-09T00:00:00,14233.05,14233.05,,0.0,0.0,0.0,0.0,1.0,1.0,13555.24,13555.24,,0.0,0.0,1.0,1.0
00010,1514751,1.0,USD,2022-01-20T00:00:00,2022-10-10T00:00:00,18938.75,18938.75,,0.0,0.0,0.0,0.0,1.0,1.0,18036.9,18036.9,,0.0,0.0,1.0,1.0
00010,1632964,1.0,USD,2022-07-05T00:00:00,2022-07-14T00:00:00,164.57,164.57,,0.0,0.0,0.0,0.0,1.0,1.0,156.74,156.74,,0.0,0.0,1.0,1.0
00010,1443407,1.0,USD,2021-10-12T00:00:00,2021-10-19T00:00:00,1099.0,1099.0,,0.0,0.0,0.0,0.0,1.0,1.0,416.5,416.5,,0.0,0.0,1.0,1.0
00010,1482598,1.0,USD,2021-12-06T00:00:00,2021-12-29T00:00:00,1099.0,1099.0,,0.0,0.0,0.0,0.0,1.0,1.0,416.5,416.5,,0.0,0.0,1.0,1.0
00010,1710031,1.0,USD,2022-10-17T00:00:00,2022-12-21T00:00:00,2245.5,2245.5,,0.0,0.0,0.0,0.0,1.0,1.0,1275.3,1275.3,,0.0,0.0,1.0,1.0
00010,1621707,1.0,USD,2022-06-20T00:00:00,2022-08-15T00:00:00,1750.0,1750.0,,0.0,0.0,0.0,0.0,1.0,1.0,941.5,941.5,,0.0,0.0,1.0,1.0
00010,1670402,1.0,USD,2022-08-23T00:00:00,2022-09-21T00:00:00,1750.0,1750.0,,0.0,0.0,0.0,0.0,1.0,1.0,941.5,941.5,,0.0,0.0,1.0,1.0
00010,1428389,1.0,USD,2021-09-21T00:00:00,2021-10-11T00:00:00,190.8,190.8,,0.0,0.0,0.0,0.0,1.0,1.0,41.03,41.03,,0.0,0.0,1.0,1.0
00010,1555835,1.0,USD,2022-03-22T00:00:00,2022-04-19T00:00:00,9890.0,9890.0,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
00010,1585613,1.0,USD,2022-05-04T00:00:00,2022-05-18T00:00:00,689.2,689.2,,0.0,0.0,0.0,0.0,1.0,1.0,315.14,315.14,,0.0,0.0,1.0,1.0
00010,1595699,1.0,USD,2022-05-17T00:00:00,2022-05-20T00:00:00,9890.0,9890.0,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
00010,1677095,1.0,USD,2022-09-01T00:00:00,2022-10-10T00:00:00,11178.0,11178.0,,0.0,0.0,0.0,0.0,1.0,1.0,2967.0,2967.0,,0.0,0.0,1.0,1.0
00010,1369517,1.0,USD,2021-06-25T00:00:00,2021-09-03T00:00:00,2101.5,2101.5,,0.0,0.0,0.0,0.0,1.0,1.0,1246.5,1246.5,,0.0,0.0,1.0,1.0
00010,1382298,1.0,USD,2021-07-15T00:00:00,2021-09-17T00:00:00,2101.5,2101.5,,0.0,0.0,0.0,0.0,1.0,1.0,1246.5,1246.5,,0.0,0.0,1.0,1.0
00010,1398459,1.0,USD,2021-08-10T00:00:00,2021-10-11T00:00:00,2290.5,2290.5,,0.0,0.0,0.0,0.0,1.0,1.0,1510.65,1510.65,,0.0,0.0,1.0,1.0
00010,1398647,1.0,USD,2021-08-10T00:00:00,2022-04-15T00:00:00,2074.5,2074.5,,0.0,0.0,0.0,0.0,1.0,1.0,900.9,900.9,,0.0,0.0,1.0,1.0
00010,1433247,1.0,USD,2021-09-28T00:00:00,2021-11-16T00:00:00,1516.5,1516.5,,0.0,0.0,0.0,0.0,1.0,1.0,1102.05,1102.05,,0.0,0.0,1.0,1.0
00010,1443985,1.0,USD,2021-10-13T00:00:00,2022-04-05T00:00:00,2290.5,2290.5,,0.0,0.0,0.0,0.0,1.0,1.0,1510.65,1510.65,,0.0,0.0,1.0,1.0
00010,1444807,1.0,USD,2021-10-14T00:00:00,2021-11-08T00:00:00,9890.0,9890.0,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
00010,1445633,1.0,USD,2021-10-15T00:00:00,2021-11-16T00:00:00,2245.5,2245.5,,0.0,0.0,0.0,0.0,1.0,1.0,1219.05,1219.05,,0.0,0.0,1.0,1.0
00010,1459179,1.0,USD,2021-11-03T00:00:00,2021-11-16T00:00:00,7986.0,7986.0,,0.0,0.0,0.0,0.0,1.0,1.0,6076.4,6076.4,,0.0,0.0,1.0,1.0
00010,1477672,1.0,USD,2021-11-29T00:00:00,2021-12-21T00:00:00,1398.0,1398.0,,0.0,0.0,0.0,0.0,1.0,1.0,176.92,176.92,,0.0,0.0,1.0,1.0
00010,1479042,1.0,USD,2021-12-01T00:00:00,2022-01-31T00:00:00,2101.5,2101.5,,0.0,0.0,0.0,0.0,1.0,1.0,1497.6,1497.6,,0.0,0.0,1.0,1.0
00010,1480607,1.0,USD,2021-12-03T00:00:00,2022-02-17T00:00:00,2227.5,2227.5,,0.0,0.0,0.0,0.0,1.0,1.0,1497.6,1497.6,,0.0,0.0,1.0,1.0
00010,1489144,1.0,USD,2021-12-15T00:00:00,2022-01-05T00:00:00,9890.0,9890.0,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
00010,1492668,1.0,USD,2021-12-20T00:00:00,2021-12-29T00:00:00,575.6,575.6,,0.0,0.0,0.0,0.0,1.0,1.0,150.85,150.85,,0.0,0.0,1.0,1.0
00010,1499075,1.0,USD,2021-12-29T00:00:00,2022-02-24T00:00:00,2227.5,2227.5,,0.0,0.0,0.0,0.0,1.0,1.0,1497.6,1497.6,,0.0,0.0,1.0,1.0
00010,1504057,1.0,USD,2022-01-05T00:00:00,2022-03-08T00:00:00,2088.0,2088.0,,0.0,0.0,0.0,0.0,1.0,1.0,1497.6,1497.6,,0.0,0.0,1.0,1.0
00010,1504683,1.0,USD,2022-01-06T00:00:00,2022-01-25T00:00:00,9890.0,9890.0,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
00010,1505473,1.0,USD,2022-01-07T00:00:00,2022-03-10T00:00:00,10318.0,10318.0,,0.0,0.0,0.0,0.0,1.0,1.0,6133.38,6133.38,,0.0,0.0,1.0,1.0
00010,1515479,1.0,USD,2022-01-21T00:00:00,2022-02-09T00:00:00,6710.0,6710.0,,0.0,0.0,0.0,0.0,1.0,1.0,6138.0,6138.0,,0.0,0.0,1.0,1.0
00010,1525296,1.0,USD,2022-02-04T00:00:00,2022-02-18T00:00:00,9890.0,9890.0,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
00010,1528542,1.0,USD,2022-02-09T00:00:00,2022-03-03T00:00:00,9890.0,9890.0,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
00010,1530002,1.0,USD,2022-02-11T00:00:00,2022-02-16T00:00:00,9240.0,9240.0,,0.0,0.0,0.0,0.0,1.0,1.0,6138.0,6138.0,,0.0,0.0,1.0,1.0
00010,1532076,1.0,USD,2022-02-14T00:00:00,2022-03-16T00:00:00,9890.0,9890.0,,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,2691.0,,0.0,0.0,1.0,1.0
