Branch,ParentItem2nd,CompItem2nd,CompBulk,CompGlobalBulk,CompItem2ndIM,CompBulkIM,CompBranch,TypeBOM,EffFrom,EffThru,Qty,QtyBatch,CompLineNum,RevLevel,UOM,IsCurrent,DWSource,CompIBSKey,ParentIBSKey
USCM,DPE3500,FERSUL7W,FERSUL7W,FERSUL7W,FERSUL7W,FERSUL7W,USCM,M,2023-02-23T00:00:00,2040-12-31T00:00:00,0.0,0.0,0.0,,LB,0,1,115748,115762
CIN2,MC40EBK,161190PX,161190PX,161190PX,161190PX,161190PX,CIN2,M,2020-12-08T00:00:00,2040-12-31T00:00:00,37.9,0.0,0.0,,LB,0,1,21111,12543
CIN2,U2022-PL,U2022,U2022,U2022,U2022,U2022,CIN2,M,2009-05-14T00:00:00,2040-12-31T00:00:00,4000.0,0.0,0.0,,LB,0,1,18375,18746
CIN2,U2022-T2,U2022,U2022,U2022,U2022,U2022,CIN2,M,2024-11-11T00:00:00,2040-12-31T00:00:00,220000.0,0.0,0.0,,LB,0,1,18375,22664
CIN2,U2022,U2022-OP,U2022,U2022,U2022-OP,U2022,CIN2,M,2020-11-16T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,18756,18375
ORTC,U2022-PL,U2022,U2022,U2022,U2022,U2022,ORTC,M,2009-05-14T00:00:00,2040-12-31T00:00:00,4000.0,0.0,1.0,,LB,0,1,95722,95747
SING,U2022-PL,U2022,U2022,U2022,U2022,U2022,SING,M,2025-08-04T00:00:00,2040-12-31T00:00:00,4000.0,0.0,0.0,,LB,0,1,110296,110333
USCM,APT11,U2022,U2022,U2022,U2022,U2022,USCM,M,2021-08-09T00:00:00,2040-12-31T00:00:00,96.251,0.0,0.0,,LB,0,1,115676,115751
CIN2,U101,U101-OP,U101,U101,U101-OP,U101,CIN2,M,2020-11-16T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,18382,18218
GRAN,MD4020-C1,MD4020,MD4020,MD4020,MD4020,MD4020,GRAN,M,2017-12-15T00:00:00,2040-12-31T00:00:00,12.5,0.0,0.0,,LB,0,1,80439,80449
CIN2,U802,U802-OP,U802,U802,U802-OP,U802,CIN2,M,2026-01-13T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,20341,20695
USCM,DPE3500,DMAEMA,DMAEMA,DMAEMA,DMAEMA,DMAEMA,USCM,M,2023-02-23T00:00:00,2040-12-31T00:00:00,15.5494,0.0,0.0,,LB,0,1,115740,115762
USCM,191245PX,DMAEMA,DMAEMA,DMAEMA,DMAEMA,DMAEMA,USCM,M,2023-02-23T00:00:00,2040-12-31T00:00:00,15.5494,0.0,0.0,,LB,0,1,115740,115742
CIN2,U601,U601-OP,U601,U601,U601-OP,U601,CIN2,M,2020-11-16T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,18414,18224
CIN2,U701,U701-OP,U701,U701,U701-OP,U701,CIN2,M,2021-08-12T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,18415,18291
CIN2,U501B,U501B-OP,U501B,U501B,U501B-OP,U501B,CIN2,M,2023-03-03T00:00:00,2040-12-31T00:00:00,100.0,0.0,0.0,,LB,0,1,22224,22219
SING,ML180.S,NP4LF.S,NP4LF.S,NP4LF,NP4LF.S,NP4LF.S,SING,M,2022-04-28T00:00:00,2040-12-31T00:00:00,5.472,0.0,0.0,,KG,0,1,111816,109746
SING,ML182.S,NP4LF.S,NP4LF.S,NP4LF,NP4LF.S,NP4LF.S,SING,M,2011-03-14T00:00:00,2040-12-31T00:00:00,5.46,0.0,0.0,,KG,0,1,111816,109812
SING,ML180F.S,NP4LF.S,NP4LF.S,NP4LF,NP4LF.S,NP4LF.S,SING,M,2022-04-28T00:00:00,2040-12-31T00:00:00,5.472,0.0,0.0,,KG,0,1,111816,110413
AUBA,MDU2012B.E-LP,MDU2012B.E,MDU2012B.E,MDU2012B,MDU2012B.E,MDU2012B.E,AUBA,M,2024-09-16T00:00:00,2040-12-31T00:00:00,12000.0,0.0,0.0,,KG,0,1,6282,6335
CINC,HP302,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,CINC,M,2008-06-18T00:00:00,2040-12-31T00:00:00,10.0,0.0,0.0,,LB,0,1,57453,57430
CINC,ABEX2525-PD,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,CINC,M,2025-07-10T00:00:00,2040-12-31T00:00:00,46000.0,0.0,0.0,,LB,0,1,57453,62140
CIN2,U502-PL,U502,U502,U502,U502,U502,CIN2,M,2015-10-21T00:00:00,2040-12-31T00:00:00,4000.0,0.0,0.0,,LB,0,1,20145,20795
INCH,WD40,STODSO,STODSO,STODSO,STODSO,STODSO,INCH,M,1998-10-20T00:00:00,2040-12-31T00:00:00,60.0,0.0,0.0,,LB,0,1,80532,80534
