Branch,GlobalBulk,Bulk,Item2nd,StockType,MPF,LeadTimeLevel,LeadTimeMFG,PlanningCode,PTF,SafetyStock,SafetyStockSAFE,ShelfLife,SupplierNum,SupplierName,PlannerNum,PlannerName,Planner,BuyerNum,BuyerName,ActiveFlag,Partition,SRC01,SRC01Desc,SRC03,SRC03Desc,SRC04,SRC04Desc,StockTypeDesc,MPFDesc
        SHAN,U501,U501,U501-OP,P,TOL,116,89,2,8,,,365,306961,"Michelman, Inc.",309690,Jollene Li,Other,329143,"Min,Jialing (Emily )",Y,1,URE,Polyurethanes,I95,U501,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        CIN3,MDU20,MDU20,MDU20-T2,O,TOL,42,30,1,4,,,365,0,,302796,Dave Howe,Other,0,,N,1,URE,Polyurethanes,A7G,MDU20,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        EUCM,MDU4075B,MDU4075B.E,MDU4075B.E,X,TOL,75,10,1,8,,,365,0,,291266,Laurent Desjardin,Other,0,,N,1,MDU,Michem Disp. Urethane,C5M,MDU4075B,E,Experimental,Outside Processing,Toll Manufacturing
        AUB2,MDU2012B,MDU2012B.E,MDU2012B.E-LP,D,TOL,75,7,1,15,,,365,0,,291266,Laurent Desjardin,Other,0,,Y,1,MDU,Michem Disp. Urethane,CB6,MDU2012B,E,Experimental,Distributed Item,Toll Manufacturing
        AUBA,MDU2012B,MDU2012B.E,MDU2012B.E-LP,S,TOL,75,7,1,15,,,365,0,,291266,Laurent Desjardin,Other,0,,Y,1,MDU,Michem Disp. Urethane,CB6,MDU2012B,E,Experimental,Stock End-Item,Toll Manufacturing
        EUCM,MDU2012B,MDU2012B.E,MDU2012B.E,X,TOL,75,10,1,8,,,365,0,,0,,Other,0,,N,1,MDU,Michem Disp. Urethane,CB6,MDU2012B,E,Experimental,Outside Processing,Toll Manufacturing
        AUB2,MDU440,MDU440.E,MDU440.E-LP,O,TOL,30,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PAB,Polyurethane - Acrylic Blends,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,181193EU,181193EU.E,181193EU.E-TO,O,TOL,75,50,1,365,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PUD,Polyurethane Dispersion,,Blank - Sales Rpt Code 3 41/S3,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,U502,U502.E,U502.E-PD,O,TOL,77,75,1,250,,,365,0,,291266,Laurent Desjardin,Other,0,,N,1,URE,Polyurethanes,BMS,U502.E,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,MDU440,MDU440.E,MDU440.E-LP,O,TOL,30,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PAB,Polyurethane - Acrylic Blends,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,MDU440,MDU440.E,MDU440.E-TO,O,TOL,90,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PAB,Polyurethane - Acrylic Blends,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,181193EU,181193EU.E,181193EU.E-TO,O,TOL,75,50,1,365,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PUD,Polyurethane Dispersion,,Blank - Sales Rpt Code 3 41/S3,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,181193EU,181193EU.E,181193EU.E-PL,O,TOL,45,50,1,365,,,365,0,,291266,Laurent Desjardin,Other,0,,N,1,PUD,Polyurethane Dispersion,,Blank - Sales Rpt Code 3 41/S3,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,MDU2012,MDU2012.E,MDU2012.E-LP,O,TOL,30,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,HAU,Hybrid AcrylicUrethane Disper,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,MDU2012,MDU2012.E,MDU2012.E-TO,O,TOL,30,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,HAU,Hybrid AcrylicUrethane Disper,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,MDU4075,MDU4075.E,MDU4075.E-LP,O,TOL,30,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PUD,Polyurethane Dispersion,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,MDU4075,MDU4075.E,MDU4075.E-TO,O,TOL,30,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PUD,Polyurethane Dispersion,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,MDU2012,MDU2012.E,MDU2012.E-LP,O,TOL,30,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,HAU,Hybrid AcrylicUrethane Disper,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,MDU2012,MDU2012.E,MDU2012.E-TO,O,TOL,30,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,HAU,Hybrid AcrylicUrethane Disper,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,MDU4075,MDU4075.E,MDU4075.E-LP,O,TOL,60,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PUD,Polyurethane Dispersion,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,MDU4075,MDU4075.E,MDU4075.E-TO,O,TOL,60,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PUD,Polyurethane Dispersion,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,181193EU,181193EU.E,181193EU.E-PD,O,TOL,45,50,1,365,,,365,0,,291266,Laurent Desjardin,Other,0,,N,1,PUD,Polyurethane Dispersion,,Blank - Sales Rpt Code 3 41/S3,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,181193EU,181193EU.E,181193EU.E-LP,O,TOL,45,50,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PUD,Polyurethane Dispersion,,Blank - Sales Rpt Code 3 41/S3,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,MDU440,MDU440.E,MDU440.E-TO,O,TOL,90,40,1,8,,,365,0,,301526,Rose-Anne Body,Other,0,,N,1,PAB,Polyurethane - Acrylic Blends,,Blank - Sales Rpt Code 3 41/S3,OB,Obsolete,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        CIN2,U601,U601,U601-PL,S,TOL,5,48,1,70,,,365,0,,335951,Lance Murphy,Other,0,,Y,1,URE,Polyurethanes,I96,U601,C,Commercial,Stock End-Item,Toll Manufacturing
        CIN2,U470,U470,U470-PL,O,TOL,5,65,1,150,,,365,0,,335951,Lance Murphy,Other,0,,N,1,PUD,Polyurethane Dispersion,BPA,U470,E,Experimental,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        CIN2,U101,U101,U101-PL,S,TOL,5,48,1,70,,,365,0,,335951,Lance Murphy,Other,0,,Y,1,URE,Polyurethanes,I87,U101,C,Commercial,Stock End-Item,Toll Manufacturing
        CIN2,U201,U201,U201-OP,S,TOL,5,48,1,70,,,365,0,,335951,Lance Murphy,Other,0,,Y,1,URE,Polyurethanes,I92,U201,C,Commercial,Stock End-Item,Toll Manufacturing
        CIN2,U201,U201,U201-PL,S,TOL,5,48,1,70,,,365,0,,335951,Lance Murphy,Other,0,,Y,1,URE,Polyurethanes,I92,U201,C,Commercial,Stock End-Item,Toll Manufacturing
        CIN2,U501,U501,U501-PL,S,TOL,5,48,1,70,,,365,0,,335951,Lance Murphy,Other,0,,Y,1,URE,Polyurethanes,I95,U501,C,Commercial,Stock End-Item,Toll Manufacturing
        CIN2,U204,U204,U204-PL,S,TOL,5,48,1,70,,,365,0,,335951,Lance Murphy,Other,0,,Y,1,URE,Polyurethanes,S57,U204,C,Commercial,Stock End-Item,Toll Manufacturing
        CIN2,U502,U502,U502-PL,S,TOL,5,65,1,196,,,365,0,,335951,Lance Murphy,Other,0,,Y,1,URE,Polyurethanes,S85,U502,C,Commercial,Stock End-Item,Toll Manufacturing
        CIN2,MDU4075B,MDU4075B.E,MDU4075B.E-PL,O,TOL,120,10,1,30,,,365,0,,335951,Lance Murphy,Other,0,,N,1,MDU,Michem Disp. Urethane,C5M,MDU4075B,E,Experimental,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        CINC,161017CX,161017CX,161017CX,O,TOL,12,14,1,10,,,365,0,,335951,Lance Murphy,Other,0,,N,1,SPF,Specialty Formulations,B9F,161017CX,X,Discontinued,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,MDU440B,MDU440B.E,MDU440B.E-TO,O,TOL,75,75,1,180,,,365,324808,Cromogenia,291244,Joël Bertrand,Other,0,,N,1,MDU,Michem Disp. Urethane,,Blank - Sales Rpt Code 3 41/S3,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,MDU440B,MDU440B.E,MDU440B.E-LP,O,TOL,90,75,1,180,,,365,324808,Cromogenia,340941,Lise Jacquet,Other,0,,N,1,MDU,Michem Disp. Urethane,,Blank - Sales Rpt Code 3 41/S3,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,MDU440B,MDU440B.E,MDU440B.E-TO,O,TOL,75,65,1,180,,,365,324808,Cromogenia,291244,Joël Bertrand,Other,0,,N,1,MDU,Michem Disp. Urethane,,Blank - Sales Rpt Code 3 41/S3,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUBA,MDU440B,MDU440B.E,MDU440B.E-LP,O,TOL,90,75,1,250,,,365,324808,Cromogenia,291244,Joël Bertrand,Other,0,,N,1,MDU,Michem Disp. Urethane,,Blank - Sales Rpt Code 3 41/S3,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        SHAN,MDU4075B,MDU4075B.E,MDU4075B.E-LP,P,TOL,60,10,1,8,,,365,324808,Cromogenia,301526,Rose-Anne Body,Other,0,,Y,1,MDU,Michem Disp. Urethane,C5M,MDU4075B,E,Experimental,Purchased inc. Raw Material,Toll Manufacturing
        AUBA,U802,U802.E,U802.E-PD,O,TOL,60,10,1,250,,,365,301843,BIP (Oldbury) Limited,291244,Joël Bertrand,Other,0,,N,1,URE,Polyurethanes,BMU,U802.E,IN,Inactive,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,U601,U601,U601-OP,O,TOL,196,140,1,180,,,365,45235,MICHELMAN INC.,301526,Rose-Anne Body,Other,0,,N,1,URE,Polyurethanes,I96,U601,C,Commercial,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        AUB2,U470,U470,U470-PL,O,TOL,75,85,1,365,,,365,45235,MICHELMAN INC.,301526,Rose-Anne Body,Other,0,,N,1,PUD,Polyurethane Dispersion,BPA,U470,E,Experimental,"Obsolete (To Order, Call MKT)",Toll Manufacturing
