MatchType,DocType,OrdType,OrderCo,OrderNum,DocNum,LineNum,TxnDate,RecvDate,GLDate,SupplierNum,SupplierName,Item2nd,Bulk,GlobalBulk,Qty,QtyLB,QtyKG,Amt,USD,EUR
1,OV,OP,00010,120505,186089,1.0,2020-04-14T00:00:00,2020-04-14T00:00:00,2020-04-14T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43084.8,43084.8,39229.5893
1,OV,OP,00010,120505,186091,1.0,2020-04-14T00:00:00,2020-04-14T00:00:00,2020-04-14T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43084.8,43084.8,39229.5893
1,OV,OP,00010,120506,186541,1.0,2020-04-23T00:00:00,2020-04-23T00:00:00,2020-04-23T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43084.8,43084.8,39841.4624
1,OV,OP,00010,121434,188124,1.0,2020-06-02T00:00:00,2020-06-02T00:00:00,2020-06-02T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43084.8,43084.8,38587.2897
1,OV,OP,00010,121434,188126,1.0,2020-06-02T00:00:00,2020-06-02T00:00:00,2020-06-02T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43084.8,43084.8,38587.2897
1,OV,OP,00010,121435,187884,1.0,2020-05-27T00:00:00,2020-05-27T00:00:00,2020-05-27T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43084.8,43084.8,39292.6396
1,OV,OP,00010,121470,187728,1.0,2020-05-21T00:00:00,2020-05-21T00:00:00,2020-05-21T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43084.8,43084.8,39333.4323
1,OV,OP,00010,122472,189343,1.0,2020-07-02T00:00:00,2020-07-02T00:00:00,2020-07-02T00:00:00,292788,Ortec Inc.,U201,U201,U201,17600.0,17600.0,7983.36,43260.8,43260.8,38496.0382
1,OV,OP,00010,122733,190438,1.0,2020-07-29T00:00:00,2020-07-29T00:00:00,2020-07-29T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,41606.4,41606.4,35353.5364
1,OV,OP,00010,122733,190440,1.0,2020-07-29T00:00:00,2020-07-29T00:00:00,2020-07-29T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,41606.4,41606.4,35353.5364
1,OV,OP,00010,122736,192218,1.0,2020-09-03T00:00:00,2020-09-03T00:00:00,2020-09-03T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35885.3238
